,Country,Country Code,Cases,Deaths,Deaths per 1000 Cases,Population 2019,"Cases per 100,000 People","Deaths per 100,000 People",2017 GDP in Billions,2018 GDP in Billions,2019 GDP in Billions,Capital,Latitude,Longitude
0,Afghanistan,AFG,39616,1470,37.11,38041757.0,104.14,3.86,20.19176,19.484384937,19.101353833,Kabul,34.5167,69.1833
1,Albania,ALB,14730,407,27.63,2862427.0,514.6,14.22,13.019693451,15.147020535,15.278077447,Tirana,41.3275,19.8189
2,Algeria,DZA,52520,1779,33.87,43053054.0,121.99,4.13,167.0,174.0,170.0,Algiers,36.7631,3.0506
3,Andorra,AND,2568,53,20.64,76177.0,3371.1,69.57,3.00018075,3.218316013,3.154057987,Andorra la Vella,42.5,1.5165
4,Angola,AGO,5725,211,36.86,31825299.0,17.99,0.66,122.0,101.0,94.63541587,Luanda,-8.8383,13.2344
5,Antigua and Barbuda,ATG,108,3,27.78,97115.0,111.21,3.09,1.467977778,1.610574074,1.727759259,Saint John’s,17.118,-61.85
6,Argentina,ARG,840902,22226,26.43,44780675.0,1877.82,49.63,643.0,520.0,450.0,Buenos Aires,-34.6025,-58.3975
7,Armenia,ARM,53755,995,18.51,2957728.0,1817.44,33.64,11.527458566,12.457941907,13.672802158,Yerevan,40.1812,44.5136
8,Aruba,ABW,4108,31,7.55,106310.0,3864.17,29.16,3.056424581,0.0,0.0,Oranjestad,12.5304,-70.029
9,Australia,AUS,27182,897,33.0,25203200.0,107.85,3.56,1330.0,1430.0,1390.0,Canberra,-35.283,149.129
10,Austria,AUT,51382,844,16.43,8858775.0,580.01,9.53,418.0,456.0,446.0,Vienna,48.2,16.3666
11,Azerbaijan,AZE,41113,602,14.64,10047719.0,409.18,5.99,40.865558912,47.112941176,48.047647059,Baku,40.3953,49.8622
12,Bahamas,BHS,4713,102,21.64,389486.0,1210.06,26.19,12.1504,12.4245,12.827,Nassau,25.0834,-77.35
13,Bahrain,BHR,73932,262,3.54,1641164.0,4504.85,15.96,35.423643617,37.6525,38.574069149,Manama,26.2361,50.5831
14,Bangladesh,BGD,373151,5440,14.58,163046173.0,228.86,3.34,250.0,274.0,303.0,Dhaka,23.7231,90.4086
15,Barbados,BRB,203,7,34.48,287021.0,70.73,2.44,4.978,5.0865,5.209,Bridgetown,13.102,-59.6165
16,Belarus,BLR,81505,874,10.72,9452409.0,862.27,9.25,54.726595249,60.031262269,63.080457023,Minsk,53.9,27.5666
17,Belgium,BEL,137774,10108,73.37,11455519.0,1202.69,88.24,504.0,543.0,530.0,Brussels,50.8333,4.3333
18,Belize,BLZ,2310,34,14.72,390351.0,591.78,8.71,1.8366,1.8712,1.8796136,Belmopan,17.252,-88.7671
19,Benin,BEN,2411,41,17.01,11801151.0,20.43,0.35,12.701656931,14.250985959,14.390709095,Cotonou,6.4,2.52
20,Bermuda,BMU,182,9,49.45,62508.0,291.16,14.4,0.0,0.0,0.0,Not Available,Not Available,Not Available
21,Bhutan,BTN,304,0,0.0,763094.0,39.84,0.0,2.450364928,2.446674102,0.0,Thimphu,27.473,89.639
22,Bolivia,BOL,137706,8192,59.49,11513102.0,1196.08,71.15,37.508642113,40.287647902,40.895322865,La Paz,-16.498,-68.15
23,Bosnia and Herzegovina,BIH,29075,908,31.23,3300998.0,880.79,27.51,18.080118128,20.183498491,20.047848435,Sarajevo,43.85,18.383
24,Botswana,BWA,3172,16,5.04,2303703.0,137.69,0.69,17.405538618,18.663264706,18.340510789,Gaborone,-24.6463,25.9119
25,Brazil,BRA,5000694,148228,29.64,211049519.0,2369.44,70.23,2060.0,1890.0,1840.0,Brasília,-15.7833,-47.9161
26,British Virgin Islands,VGB,71,1,14.08,30033.0,236.41,3.33,0.0,0.0,0.0,Not Available,Not Available,Not Available
27,Brunei Darussalam,BRN,146,3,20.55,433296.0,33.7,0.69,12.128104859,13.567351175,13.469422941,Bandar Seri Begawan,4.8833,114.9333
28,Bulgaria,BGR,22743,873,38.39,7000039.0,324.9,12.47,58.950125036,66.200847918,67.927179737,Sofia,42.6833,23.3167
29,Burkina Faso,BFA,2222,59,26.55,20321383.0,10.93,0.29,14.169905602,16.199434625,15.745810235,Ouagadougou,12.3703,-1.5247
30,Burundi,BDI,515,1,1.94,11530577.0,4.47,0.01,3.172292379,3.036931818,3.012334882,Bujumbura,-3.3761,29.36
31,Cambodia,KHM,281,0,0.0,16486542.0,1.7,0.0,22.177200512,24.571753583,27.089389787,Phnom Penh,11.55,104.9166
32,Cameroon,CMR,20924,420,20.07,25876387.0,80.86,1.62,35.009262788,38.694095651,38.760467033,Yaoundé,3.8667,11.5167
33,Canada,CAN,173123,9541,55.11,37411038.0,462.76,25.5,1650.0,1720.0,1740.0,Ottawa,45.4167,-75.7
34,Cabo Verde,CPV,6624,71,10.72,549936.0,1204.5,12.91,1.769787215,1.966983316,1.981845741,Praia,14.9167,-23.5167
35,Cayman Islands,CYM,213,1,4.69,64948.0,327.95,1.54,5.141833913,5.485419417,0.0,Not Available,Not Available,Not Available
36,Central African Republic,CAF,4852,62,12.78,4745179.0,102.25,1.31,2.072350151,2.220978978,2.220307369,Bangui,4.3666,18.5583
37,Chad,TCD,1251,88,70.34,15946882.0,7.84,0.55,10.000395242,11.239167048,11.314951343,N’Djamena,12.1131,15.0491
38,Chile,CHL,474440,13090,27.59,18952035.0,2503.37,69.07,277.0,298.0,282.0,Santiago,-33.45,-70.667
39,China,CHN,90689,4739,52.26,1433783692.0,6.33,0.33,12300.0,13900.0,14300.0,Beijing,39.9289,116.3883
40,Colombia,COL,877683,27180,30.97,50339443.0,1743.53,53.99,312.0,334.0,324.0,Bogotá,4.5964,-74.0833
41,Comoros,COM,491,7,14.26,850891.0,57.7,0.82,1.077439663,1.178530758,1.185728677,Moroni,-11.7042,43.2402
42,"Congo, Rep.",COG,5118,90,17.58,5380504.0,95.12,1.67,9.035182062,11.662700148,10.820591131,Brazzaville,-4.2592,15.2847
43,Costa Rica,CRI,83497,1024,12.26,5047561.0,1654.2,20.29,58.481858043,60.55390142,61.773944174,San José,9.935,-84.0841
