,Country,Country Code,Cases,Deaths,Population 2019,"Cases per 100,000 People","Deaths per 100,000 People",2017 GDP in Billions,2018 GDP in Billions,2019 GDP in Billions,Capital,Latitude
135,North Macedonia,MKD,19413,772,2077132.0,934.61,37.17,11.307058382,12.628854801,12.694823394,Skopje,42.0
136,Northern Mariana Islands,MNP,75,2,57213.0,131.09,3.5,1.601,1.323,0.0,Capitol Hill,15.2137
137,Norway,NOR,14784,275,5328212.0,277.47,5.16,398.394,434.167,403.336,Oslo,59.9167
138,Oman,OMN,103465,1000,4974992.0,2079.7,20.1,70.6,79.275422627,76.983094928,Muscat,23.6133
139,Pakistan,PAK,316934,6544,216565317.0,146.35,3.02,304.567,314.568,278.222,Islamabad,33.7
140,West Bank and Gaza,PSE,53939,418,4981422.0,1082.8,8.39,14.4981,14.6159,0.0,Not Available,Not Available
141,Panama,PAN,117300,2448,4246440.0,2762.31,57.65,62.219,65.1282,66.8008,Panama City,8.968
142,Papua New Guinea,PNG,541,7,8776119.0,6.16,0.08,22.742613554,23.412495063,24.969611435,Port Moresby,-9.4647
143,Paraguay,PRY,46435,989,7044639.0,659.15,14.04,39.008900332,40.384691791,38.14528894,Asunción,-25.2964
144,Peru,PER,835662,33009,32510462.0,2570.44,101.53,211.007,222.045,226.848,Lima,-12.048
145,Philippines,PHL,329637,5925,108116622.0,304.89,5.48,328.481,346.842,376.796,Manila,14.6042
146,Poland,POL,107319,2792,37972812.0,282.62,7.35,526.381,587.114,592.164,Warsaw,52.25
147,Portugal,PRT,81256,2040,10276617.0,790.69,19.85,221.358,241.275,237.686,Lisbon,38.7227
148,Puerto Rico,PRI,51768,705,2933404.0,1764.78,24.03,103.446,100.98,104.989,Not Available,Not Available
149,Qatar,QAT,127181,218,2832071.0,4490.74,7.7,166.929,191.362,183.466,Doha,25.2866
150,Romania,ROU,142570,5203,19414458.0,734.35,26.8,211.695,241.627,250.077,Bucharest,44.4334
151,Russian Federation,RUS,1248619,21865,145872260.0,855.97,14.99,1574.2,1669.58,1699.88,Moscow,55.7522
152,Rwanda,RWA,4883,29,12626938.0,38.67,0.23,9.253098954,9.62772063,10.12247259,Kigali,-1.9536
153,St. Kitts and Nevis,KNA,19,0,52834.0,35.96,0.0,0.996937037,1.010814815,1.050992593,Basseterre,17.302
154,St. Lucia,LCA,28,0,182795.0,15.32,0.0,1.999090407,2.065875074,2.12245063,Castries,14.002
155,St. Vincent and the Grenadines,VCT,64,0,110593.0,57.87,0.0,0.7921777778,0.8113,0.8253851852,Kingstown,13.1483
156,San Marino,SMR,751,42,34453.0,2179.78,121.91,1.528468143,1.637931034,0.0,San Marino,43.9172
157,Sao Tome and Principe,STP,914,15,215048.0,425.02,6.98,0.3750408351,0.4222959342,0.4290166052,São Tomé,0.3334
158,Saudi Arabia,SAU,337711,4947,34268529.0,985.48,14.44,688.586,786.522,792.967,Riyadh,24.6408
159,Senegal,SEN,15174,313,16296362.0,93.11,1.92,20.996564752,23.236007428,23.578084052,Dakar,14.7158
160,Serbia,SRB,34193,758,6963764.0,491.01,10.88,44.12042532,50.597289147,51.409167351,Belgrade,44.8186
161,Seychelles,SYC,148,0,97741.0,151.42,0.0,1.524486801,1.586008997,1.698843063,Victoria,-4.6166
162,Sierra Leone,SLE,2287,72,7813207.0,29.27,0.92,3.739577973,4.085114794,3.941474311,Freetown,8.47
163,Singapore,SGP,57840,27,5804343.0,996.5,0.47,341.863,373.217,372.063,Singapore,1.293
164,Sint Maarten (Dutch part),SXM,689,22,42389.0,1625.42,51.9,0.0,0.0,0.0,Philipsburg,18.0255
165,Slovak Republic,SVK,14689,55,5450421.0,269.5,1.01,95.481955558,105.82,105.422,Bratislava,48.15
166,Slovenia,SVN,7124,141,2080908.0,342.35,6.78,48.561672401,54.034358544,53.742159517,Ljubljana,46.0553
167,Somalia,SOM,3745,99,15442906.0,24.25,0.64,0.0,0.0,0.0,Mogadishu,2.0667
168,South Africa,ZAF,685155,17248,58558267.0,1170.04,29.45,349.554,368.289,351.432,Cape Town,-33.92
169,"Korea, Rep.",KOR,24422,427,51225321.0,47.68,0.83,1623.9,1720.58,1642.38,Seoul,37.5663
170,South Sudan,SSD,2734,50,11062114.0,24.71,0.45,0.0,0.0,0.0,Juba,4.83
171,Sri Lanka,LKA,4459,13,21323734.0,20.91,0.06,87.428125558,88.425889592,84.008783756,Colombo,6.932
172,Sudan,SDN,13668,836,42813237.0,31.92,1.95,45.379127306,26.078607539,18.902284476,Khartoum,15.5881
173,Suriname,SUR,4979,106,581363.0,856.44,18.23,3.210064506,3.458090452,3.985250737,Paramaribo,5.835
174,Sweden,SWE,96677,5892,10230185.0,945.02,57.59,541.019,555.455,530.833,Stockholm,59.3508
175,Switzerland,CHE,56502,1786,8544527.0,661.27,20.9,679.95,705.141,703.082,Bern,46.9167
176,Syrian Arab Republic,SYR,4504,212,17070132.0,26.39,1.24,0.0,0.0,0.0,Damascus,33.5
177,Tajikistan,TJK,10055,78,9321023.0,107.87,0.84,7.157865188,7.52294781,8.116626794,Dushanbe,38.56
178,Thailand,THA,3622,59,69625581.0,5.2,0.08,456.295,506.514,543.65,Bangkok,13.75
179,Timor-Leste,TLS,28,0,1293120.0,2.17,0.0,1.60966933,1.568611562,1.6735403,Dili,-8.5594
180,Togo,TGO,1898,49,8082359.0,23.48,0.61,4.819949975,5.35634485,5.459979417,Lomé,6.1319
181,Trinidad and Tobago,TTO,4887,84,1394969.0,350.33,6.02,22.474828527,23.808146748,24.100202834,Port of Spain,10.652
182,Tunisia,TUN,25765,364,11694721.0,220.31,3.11,39.802430355,39.770297329,38.797709924,Tunis,36.8028
183,Turkey,TUR,329138,8609,82003882.0,401.37,10.5,852.677,771.35,754.412,Ankara,39.9272
184,Turks and Caicos Islands,TCA,695,6,38194.0,1819.66,15.71,0.96252584,1.02231201,0.0,Not Available,Not Available
185,Uganda,UGA,9260,85,44269587.0,20.92,0.19,30.756466548,32.772824209,34.387229486,Kampala,0.3167
186,Ukraine,UKR,239337,4597,43993643.0,544.03,10.45,112.19,130.902,153.781,Kyiv,50.4334
187,United Arab Emirates,ARE,101840,436,9770526.0,1042.32,4.46,385.606,422.215,421.142,Abu Dhabi,24.4667
188,United Kingdom,GBR,544275,42515,66647112.0,816.65,63.79,2666.23,2860.67,2827.11,London,51.5
189,Tanzania,TZA,509,21,58005461.0,0.88,0.04,53.320625959,58.001200572,63.177068175,Dar es Salaam,-6.8
190,Virgin Islands (U.S.),VIR,1327,20,104579.0,1268.9,19.12,3.855,0.0,0.0,Not Available,Not Available
191,United States,USA,7549794,211801,329064917.0,2294.32,64.36,19485.4,20529.0,21374.4,Washington,38.9047
192,Uruguay,URY,2206,49,3461731.0,63.73,1.42,59.530088536,59.596885023,56.045912952,Montevideo,-34.858
193,Uzbekistan,UZB,59905,494,32981715.0,181.63,1.5,59.159945321,50.392607758,57.92128644,Tashkent,41.3117
194,"Venezuela, RB",VEN,80404,671,28515829.0,281.96,2.35,0.0,0.0,0.0,Caracas,10.501
195,Vietnam,VNM,1099,35,96462108.0,1.14,0.04,223.78,245.214,261.921,Hanoi,21.0333
196,"Yemen, Rep.",YEM,2053,594,29161922.0,7.04,2.04,24.561327989,27.591261663,0.0,Sanaa,15.3547
197,Zambia,ZMB,15224,334,17861034.0,85.24,1.87,25.868142077,27.005238896,23.064722446,Lusaka,-15.4166
198,Zimbabwe,ZWE,7919,229,14645473.0,54.07,1.56,22.0409023,24.3115605,21.4407588,Harare,-17.8178
